9486430,Y,2,3,3,0,0
9486431,Y,2,2,2,0,0
9486432,Y,2,3,3,0,0
9486457,Y,2,3,3,0,0
9486458,Y,2,2,2,0,0
9486459,Y,2,1,1,0,0
9486484,Y,2,4,4,0,0
9486485,Y,2,1,1,0,0
9486486,Y,2,2,2,0,0
9486538,Y,2,2,2,0,0
9486539,Y,2,12,12,0,0
9486540,Y,2,2,2,0,0
9486565,Y,2,3,3,0,0
9486566,Y,2,5,5,0,0
9486567,Y,2,1,1,0,0
9486592,Y,2,3,3,0,0
9486593,Y,2,2,2,0,0
9486594,Y,2,2,2,0,0
9486619,Y,2,2,2,0,0
9486620,Y,2,3,3,0,0
9486621,Y,2,2,2,0,0
9486646,Y,2,4,4,0,0
9486647,Y,2,11,11,0,0
9486648,Y,2,1,1,0,0
9486673,Y,2,2,2,0,0
9486674,Y,2,4,4,0,0
9486675,Y,2,2,2,0,0
9486700,Y,2,2,2,0,0
9486701,Y,2,8,8,0,0
9486702,Y,2,2,2,0,0
9486727,Y,2,2,2,0,0
9486728,Y,2,7,7,0,0
9486729,Y,2,2,2,0,0
9486754,Y,2,3,3,0,0
9486755,Y,2,6,6,0,0
9486756,Y,2,2,2,0,0
9486781,Y,2,4,4,0,0
9486782,Y,2,3,3,0,0
9486783,Y,2,2,2,0,0
9486808,Y,2,155,155,150,0
9486809,Y,2,3,3,0,0
9486810,Y,2,2,2,0,0
9486835,Y,2,162,162,150,0
9486836,Y,2,4,4,0,0
9486837,Y,2,1,1,0,0
9486862,Y,2,157,157,150,0
9486863,Y,2,3,3,0,0
9486864,Y,2,1,1,0,0
9493934,Y,2,23,23,20,0
9493935,Y,2,21,21,15,0
9493936,Y,2,19,19,17,0
9494062,Y,2,13,13,8,0
9494063,Y,2,6,6,3,0
9494064,Y,2,7,7,5,0
9494195,Y,2,24,24,22,0
9494196,Y,2,31,31,25,0
9494323,Y,2,12,12,11,0
9494324,Y,2,13,13,9,0
9495903,Y,2,52,52,47,0
9495904,Y,2,57,57,50,0
9495978,Y,2,105,105,100,0
9495979,Y,2,15,15,13,0
9495980,Y,2,23,23,22,0
9496216,Y,2,27,27,24,0
9496217,Y,2,48,48,43,0
9496218,Y,2,11,11,8,0
9496219,Y,2,51,51,45,0
9496396,Y,2,27,27,22,0
9496397,Y,2,20,20,18,0
9496472,Y,2,14,14,10,0
9496473,Y,2,4,4,2,0
9496589,Y,2,48,48,46,0
9496590,Y,2,44,44,43,0
9496705,Y,2,25,25,20,0
9496706,Y,2,11,11,10,0
9496831,Y,2,20,20,18,0
9496832,Y,2,21,21,20,0
9496957,Y,2,13,13,9,0
9496958,Y,2,11,11,8,0
9497036,Y,2,22,22,20,0
9497037,Y,2,10,10,7,0
9497163,Y,2,4,4,2,0
9497164,Y,2,10,10,1,0
9497165,Y,2,2,2,0,0
9497291,Y,2,19,19,16,0
9497292,Y,2,16,16,14,0
9497418,Y,2,23,23,20,0
9497419,Y,2,27,27,17,0
9497663,Y,2,34,34,28,0
9497665,Y,2,42,42,30,0
9497799,Y,2,17,17,12,0
9497800,Y,2,3,3,1,0
9497926,Y,2,21,21,18,0
9497927,Y,2,13,13,10,0
9498053,Y,2,22,22,17,0
9498054,Y,2,10,10,6,0
9498306,Y,2,23,23,17,0
9498307,Y,2,13,13,11,0
9498433,Y,2,13,13,12,0
9498434,Y,2,18,18,15,0
9498435,Y,2,9,9,8,0
9498561,Y,2,35,35,33,0
9498562,Y,2,18,18,16,0
9498815,Y,2,54,54,52,0
9498816,Y,2,16,16,15,0
9498941,Y,2,34,34,30,0
9498942,Y,2,12,12,7,0
9498943,Y,2,17,17,15,0
9499048,Y,2,25,25,22,0
9499049,Y,2,24,24,17,0
9499175,Y,2,9,9,7,0
9499176,Y,2,24,24,21,0
