VNAFMD,23501952,Y,O,1,0,0,1
VNAFMD,23532835,Y,O,0,0,0,2
VNAFMD,23548180,Y,O,0,0,0,3
VNAFMD,23521445,Y,U,0,0,0,4
YIDSSH,26652402,Y,Y,0,0,0,1
YIDSSH,23525335,Y,H,0,0,0,2
PRBYGV,23501952,Y,R,0,0,0,1
GNIRXC,23538714,Y,Y,1,0,0,1
GNIRXC,26652465,Y,L,0,0,0,2
GNIRXC,25905510,Y,S,0,0,0,3
WYDUCP,23545676,Y,U,0,1,0,1
WYDUCP,23538714,Y,M,0,0,0,2
WYDUCP,23539770,Y,P,0,0,0,3
WYDUCP,23538205,Y,Z,0,0,0,4
OBXZAK,23525335,Y,P,0,0,0,1
AETFSZ,23538791,Y,U,0,0,0,1
TLDNMT,23525335,Y,S,0,0,0,1
CRZJAI,23501952,Y,B,0,0,0,1
PPDDPK,23538714,Y,S,0,0,0,1
PPDDPK,23499442,Y,U,0,0,0,2
BJEQML,23501952,Y,V,0,0,0,1
BJEQML,23497435,Y,O,0,0,0,2
GGOGLH,23501952,Y,W,0,0,0,1
GGOGLH,23509422,Y,W,0,0,0,2
GGOGLH,23520217,Y,W,0,0,0,3
FPXJPG,23538714,Y,O,0,0,0,1
MHPVYP,23525335,Y,P,0,0,0,1
SNAQGS,23525335,Y,O,0,0,0,1
SNAQGS,23497427,Y,P,0,0,0,2
FLTSCN,23538791,Y,U,0,0,0,1
MWLICX,23538714,Y,O,0,0,0,1
MWLICX,23499442,Y,S,0,0,0,2
NXSCYX,23525335,Y,S,0,0,0,1
ODEKZB,23501952,Y,U,1,0,0,1
ODEKZB,23532835,Y,U,0,0,0,2
ODEKZB,S1740994,Y,V,0,0,1,3
MSRYZN,23501952,Y,O,1,0,0,1
MSRYZN,23532835,Y,O,0,0,0,2
MSRYZN,S1740953,Y,H,0,0,1,3
GXHRZM,23538791,Y,U,1,0,0,1
ZGMMXU,23525335,Y,O,0,0,0,1
VBHEGO,23525335,Y,P,0,0,0,1
BWCLKE,23538714,Y,O,0,0,0,1
HZEFPD,23538791,Y,S,0,0,0,1
IOATQZ,23525335,Y,U,0,0,0,1
IOATQZ,23521367,Y,U,0,0,0,2
CRFLNP,23538714,Y,O,1,0,0,1
WMYMUO,23538791,Y,S,0,0,0,1
XHEDMX,23525335,Y,R,0,0,0,1
HCICFL,23538791,Y,S,0,0,0,1
MGGGSH,23538714,Y,M,0,0,0,1
MGGGSH,25365701,Y,U,0,0,0,2
ZDBWLA,23538714,Y,S,1,0,0,1
ABUITL,23538714,Y,S,0,0,0,1
ABUITL,23501163,Y,S,0,0,0,2
ABUITL,23515146,Y,B,0,0,0,3
EDOPQL,23538714,Y,S,0,0,0,1
EDOPQL,23499442,Y,O,0,0,0,2
YCHNAC,23538714,Y,S,1,0,0,1
YCHNAC,23538794,Y,S,0,0,0,2
TKSCCV,23538791,Y,U,0,0,0,1
VXSQKK,23525335,Y,S,0,0,0,1
JBNKZU,23538714,Y,U,0,0,0,1
JBNKZU,23538795,Y,U,0,0,0,2
BSIILN,23538714,Y,O,0,0,0,1
ORAGPS,23525335,Y,R,0,0,0,1
HEJICZ,23538714,Y,U,0,0,0,1
HEJICZ,23501163,Y,O,0,0,0,2
HEJICZ,23548177,Y,P,0,0,0,3
HEJICZ,23515300,Y,V,0,0,0,4
GMFOXF,23538791,Y,U,1,0,0,1
SVOEHS,23501952,Y,V,0,0,0,1
SVOEHS,23521440,Y,B,0,0,0,2
HYBEOG,23538791,Y,O,0,0,0,1
TRIHLN,23538791,Y,U,0,0,0,1
QZZIAJ,23501952,Y,O,0,0,0,1
QZZIAJ,23525341,Y,B,0,0,0,2
CGOMZJ,23501952,Y,R,0,0,0,1
CGOMZJ,23505957,Y,Q,0,0,0,2
GBSHFL,23501952,Y,W,1,0,0,1
GBSHFL,23497435,Y,M,0,0,0,2
IQNXXN,23501952,Y,O,1,0,0,1
VQAATM,23538791,Y,S,0,0,0,1
PWKWMP,23525335,Y,M,1,0,0,1
PWKWMP,23521361,Y,M,0,0,0,2
QTDTLI,23501952,Y,U,1,0,0,1
QTDTLI,23525340,Y,R,0,0,0,2
XCMMSL,25365684,Y,V,0,1,0,1
XCMMSL,23538791,Y,U,0,0,0,2
YURJXO,23501952,Y,O,0,0,0,1
YURJXO,23525341,Y,V,0,0,0,2
BWSDQE,23525335,Y,T,0,0,0,1
VGMQJB,23501952,Y,Z,0,0,0,1
VGMQJB,23525339,Y,Z,0,0,0,2
OZZFGI,23538714,Y,U,0,0,0,1
OZZFGI,23538795,Y,S,0,0,0,2
ZHKSTO,23501952,Y,O,0,0,0,1
ZHKSTO,23532835,Y,O,0,0,0,2
ZHKSTO,S1740929,Y,S,0,0,1,3
DTMDRQ,23538714,Y,Z,0,0,0,1
DTMDRQ,23538796,Y,R,0,0,0,2
ZYSKHG,23525335,Y,R,0,0,0,1
ZBXVCB,23538791,Y,O,0,0,0,1
ZBXVCB,23500103,Y,O,0,0,0,2
RCRSMJ,23525335,Y,P,0,0,0,1
OROYTO,23538714,Y,U,1,0,0,1
OROYTO,23532835,Y,U,0,0,0,2
OROYTO,23527256,Y,S,0,0,0,3
OROYTO,23541659,Y,S,0,0,0,4
OROYTO,23515300,Y,V,0,0,0,5
NCESSZ,23538791,Y,S,0,0,0,1
EOICZQ,23538791,Y,U,0,0,0,1
ELDPSJ,23538791,Y,S,0,0,0,1
MYDLXG,23538714,Y,W,1,0,0,1
MYDLXG,23532835,Y,O,0,0,0,2
MYDLXG,23527257,Y,O,0,0,0,3
MYDLXG,23536361,Y,B,0,0,0,4
WKHULE,23538714,Y,Y,0,0,0,1
WKHULE,23532835,Y,Y,0,0,0,2
HNQNQF,23501952,Y,O,1,0,0,1
HNQNQF,23521442,Y,V,0,0,0,2
QKSUCY,23525335,Y,U,0,0,0,1
BGQDJT,23525335,Y,P,0,0,0,1
OHRINT,23525335,Y,P,0,0,0,1
FDVFFY,23525335,Y,P,0,0,0,1
FDVFFY,23497427,Y,P,0,0,0,2
WVPGJJ,23525335,Y,O,0,0,0,1
WVPGJJ,23521380,Y,U,0,0,0,2
JITREY,23501952,Y,Z,1,0,0,1
JITREY,23525339,Y,O,0,0,0,2
GAQHVD,23526177,Y,Z,0,0,0,1
GAQHVD,23538714,Y,Z,0,0,0,2
GAQHVD,23538795,Y,Z,0,0,0,3
GAQHVD,23550420,Y,Z,0,0,0,4
MRZFBB,23525335,Y,U,0,0,0,1
QOFEZN,23501952,Y,R,0,0,0,1
QOFEZN,23532835,Y,U,0,0,0,2
QOFEZN,23548172,Y,O,0,0,0,3
QOFEZN,23521439,Y,O,0,0,0,4
PKBOFR,23525335,Y,O,0,0,0,1
PKBOFR,23501960,Y,S,0,0,0,2
UJGLWM,23501952,Y,W,1,0,0,1
UJGLWM,23497435,Y,M,0,0,0,2
VYROVE,23501952,Y,M,1,0,0,1
VYROVE,23497434,Y,U,0,0,0,2
CKCMLJ,23538791,Y,U,0,0,0,1
MKURDO,23525335,Y,P,0,0,0,1
YKWFTM,23501952,Y,U,0,0,0,1
YKWFTM,23497435,Y,Z,0,0,0,2
PFLBKR,23517604,Y,W,0,0,0,1
PFLBKR,23501952,Y,W,0,0,0,2
OCKNIR,23525335,Y,P,0,0,0,1
NGCOLN,23538714,Y,O,0,0,0,1
NGCOLN,23499444,Y,R,0,0,0,2
KGGMAG,23538714,Y,M,0,0,0,1
WLWUFT,23501952,Y,K,0,0,0,1
WLWUFT,23509422,Y,U,0,0,0,2
GWVCMI,23525335,Y,S,0,0,0,1
RIQUQF,23525335,Y,O,0,0,0,1
CNSCAB,23538791,Y,S,0,0,0,1
CDZBMM,23538791,Y,O,0,0,0,1
ABVLIR,23525335,Y,M,0,0,0,1
ENWCWO,23538791,Y,R,0,0,0,1
ENWCWO,23500398,Y,R,0,0,0,2
VWAMSJ,23538791,Y,U,0,0,0,1
HYTVII,23538714,Y,O,0,0,0,1
HYTVII,23499444,Y,M,0,0,0,2
JKDBXB,23501952,Y,R,0,0,0,1
JKDBXB,23521442,Y,H,0,0,0,2
GULZOM,23538714,Y,M,1,0,0,1
GULZOM,23515144,Y,W,0,0,0,2
JTZAPZ,23538791,Y,O,0,0,0,1
JTZAPZ,23515067,Y,O,0,0,0,2
ANCTDT,23538791,Y,Z,0,0,0,1
FSOUQE,23501952,Y,R,1,0,0,1
FSOUQE,23532835,Y,R,0,0,0,2
FSOUQE,S1741340,Y,Q,0,0,1,3
HKAMVJ,23525335,Y,Y,0,0,0,1
QARSHI,23538714,Y,S,0,0,0,1
QARSHI,23499443,Y,M,0,0,0,2
AVIQNS,23538791,Y,O,0,0,0,1
AVIQNS,23550416,Y,O,0,0,0,2
FPVSDB,23525335,Y,Y,0,0,0,1
RRENCL,23525335,Y,U,0,0,0,1
RRENCL,23528574,Y,U,0,0,0,2
KPLKDR,23538714,Y,S,1,0,0,1
KPLKDR,23499445,Y,U,0,0,0,2
FBLNJB,23538791,Y,S,0,0,0,1
VHCRXH,23525335,Y,M,0,0,0,1
PGRMPS,23538791,Y,U,1,0,0,1
VJTHVN,23538714,Y,S,1,0,0,1
KAWOML,23525335,Y,M,0,0,0,1
VXJTLU,23501952,Y,Z,1,0,0,1
VXJTLU,23497434,Y,U,0,0,0,2
EVTJMR,23538791,Y,O,0,0,0,1
EVTJMR,23500103,Y,O,0,0,0,2
AHLZJK,23538791,Y,O,0,0,0,1
BQQROF,23525335,Y,K,0,0,0,1
MFUWHS,23538714,Y,Z,1,0,0,1
MFUWHS,23532835,Y,Z,0,0,0,2
HDCAMD,23538714,Y,Z,0,0,0,1
HDCAMD,23532835,Y,Z,0,0,0,2
QAYAAJ,23525335,Y,S,0,0,0,1
QKKOVO,23501952,Y,Z,1,0,0,1
QKKOVO,23521445,Y,O,0,0,0,2
LEMQNF,23538791,Y,W,0,0,0,1
QPCUXB,23538714,Y,M,0,0,0,1
QPCUXB,23499443,Y,R,0,0,0,2
LXMTBA,23525335,Y,S,0,0,0,1
BAZBSS,23501952,Y,R,1,0,0,1
BAZBSS,23487608,Y,W,0,0,0,2
BAZBSS,23523740,Y,O,0,0,0,3
RSBSEY,23504204,Y,R,0,0,0,1
RSBSEY,23501952,Y,R,0,0,0,2
RSBSEY,23507815,Y,O,0,0,0,3
IGTROO,23538791,Y,S,0,0,0,1
NDOYNV,23538791,Y,U,0,0,0,1
NYUNIN,23525335,Y,O,1,0,0,1
WEQNOA,23501952,Y,M,1,0,0,1
RCOGRV,23525335,Y,R,0,0,0,1
ITHEJY,23538714,Y,H,0,0,0,1
DVZGEV,23525335,Y,P,0,0,0,1
QGHRNN,23501952,Y,O,0,0,0,1
QGHRNN,23532835,Y,O,0,0,0,2
QGHRNN,S1740994,Y,B,0,0,1,3
GFBZAR,23501952,Y,X,1,0,0,1
GFBZAR,25365575,Y,X,0,0,0,2
EOCOQI,23538791,Y,W,0,0,0,1
EOCOQI,23492086,Y,W,0,0,0,2
JTHUUL,23501952,Y,W,1,0,0,1
JTHUUL,23535346,Y,O,0,0,0,2
JTHUUL,23514532,Y,M,0,0,0,3
NAEJWT,23538791,Y,U,0,0,0,1
JWHQSC,23538714,Y,O,0,0,0,1
QRMZLP,23538714,Y,O,0,0,0,1
QRMZLP,23538795,Y,Z,0,0,0,2
GEHLEV,23501952,Y,U,1,0,0,1
GEHLEV,25365575,Y,S,0,0,0,2
ZXBLEX,23538791,Y,O,0,0,0,1
UEDTQI,23538791,Y,Z,0,0,0,1
UEDTQI,23538721,Y,P,0,0,0,2
VDNIUI,23538791,Y,S,0,0,0,1
YVQOOC,23538714,Y,S,1,0,0,1
YVQOOC,25365701,Y,U,0,0,0,2
