VNAFMD,2,530,0,1,0,0,0
YIDSSH,2,552,0,1,0,0,0
PRBYGV,1,316,0,1,0,0,0
GNIRXC,2,959,0,1,0,0,0
WYDUCP,1,540,1,1,0,0,0
OBXZAK,1,109,0,1,0,0,0
AETFSZ,1,146,0,1,0,0,0
TLDNMT,2,125,0,1,0,0,0
CRZJAI,1,423,0,1,0,0,0
PPDDPK,1,232,0,1,0,0,0
BJEQML,1,730,1,1,0,0,0
GGOGLH,1,755,1,1,0,0,0
FPXJPG,2,167,0,1,0,0,0
MHPVYP,1,109,1,1,0,0,0
SNAQGS,2,360,0,1,0,0,0
FLTSCN,2,146,0,0,0,0,1
MWLICX,1,334,0,1,0,0,0
NXSCYX,1,125,1,1,0,0,0
ODEKZB,2,420,1,1,0,0,0
MSRYZN,2,465,1,1,0,0,0
GXHRZM,2,146,1,1,0,0,0
ZGMMXU,1,180,0,1,0,0,0
VBHEGO,2,109,1,1,0,0,0
BWCLKE,1,167,1,1,0,0,0
HZEFPD,2,116,0,1,0,0,0
IOATQZ,1,310,0,1,0,0,0
CRFLNP,1,167,0,1,0,0,0
WMYMUO,2,116,0,1,0,0,0
XHEDMX,1,316,1,1,0,0,0
HCICFL,2,116,0,1,0,0,0
MGGGSH,2,430,0,1,0,0,0
ZDBWLA,2,116,1,1,0,0,0
ABUITL,3,277,0,1,0,0,0
EDOPQL,2,232,1,1,0,0,0
YCHNAC,1,232,0,1,0,0,0
TKSCCV,3,146,1,1,0,0,0
VXSQKK,2,125,1,1,0,0,0
JBNKZU,1,292,0,1,0,0,0
BSIILN,1,167,0,1,0,0,0
ORAGPS,4,316,0,1,0,0,0
HEJICZ,3,416,0,1,0,0,0
GMFOXF,1,146,0,1,0,0,0
SVOEHS,1,730,0,1,0,0,0
HYBEOG,1,167,1,1,0,0,0
TRIHLN,2,146,0,1,0,0,0
QZZIAJ,1,360,1,1,0,0,0
CGOMZJ,2,632,0,1,0,0,0
GBSHFL,2,552,1,1,0,0,0
IQNXXN,4,180,0,1,0,0,0
VQAATM,1,116,0,1,0,0,0
PWKWMP,1,478,0,1,0,0,0
QTDTLI,4,310,1,1,0,0,0
XCMMSL,2,146,0,1,0,0,0
YURJXO,3,360,0,1,0,0,0
BWSDQE,1,239,0,0,0,1,0
VGMQJB,1,416,1,1,0,0,0
OZZFGI,2,292,1,1,0,0,0
ZHKSTO,2,465,1,1,0,0,0
DTMDRQ,5,380,0,1,0,0,0
ZYSKHG,3,316,0,1,0,0,0
ZBXVCB,2,237,0,1,0,0,0
RCRSMJ,2,109,1,1,0,0,0
OROYTO,2,474,0,1,0,0,0
NCESSZ,2,116,0,1,0,0,0
EOICZQ,1,146,0,1,0,0,0
ELDPSJ,2,116,1,1,0,0,0
MYDLXG,5,896,1,1,0,0,0
WKHULE,3,1184,1,1,0,0,0
HNQNQF,4,360,1,1,0,0,0
QKSUCY,2,155,1,1,0,0,0
BGQDJT,1,109,0,1,0,0,0
OHRINT,2,109,1,1,0,0,0
FDVFFY,1,218,0,1,0,0,0
WVPGJJ,1,360,0,1,0,0,0
JITREY,4,416,0,1,0,0,0
GAQHVD,1,470,0,1,0,0,0
MRZFBB,3,155,1,1,0,0,0
QOFEZN,2,1078,1,1,0,0,0
PKBOFR,1,360,0,0,0,0,1
UJGLWM,2,552,1,1,0,0,0
VYROVE,1,478,1,1,0,0,0
CKCMLJ,1,146,0,1,0,0,0
MKURDO,1,109,1,1,0,0,0
YKWFTM,1,310,1,1,0,0,0
PFLBKR,1,276,0,1,0,0,0
OCKNIR,1,109,0,1,0,0,0
NGCOLN,3,334,0,1,0,0,0
KGGMAG,1,215,1,1,0,0,0
WLWUFT,1,1145,0,1,0,0,0
GWVCMI,1,125,0,1,0,0,0
