9517714,B6,286,LGB,JFK,1345593600,1345672800,1345676760,1345672800,1345694400,1345593600,1345647600,1345651560,1345647600,1345680000,1,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9503231,B6,65,JFK,TPA,1345852800,1345904100,1345913940,1345904100,1345913940,1345852800,1345889700,1345899540,1345889700,1345899540,0,0,0,115,115,7,108,0,0,0,0,0,0,1,0,1,1,0,0,0
9524876,B6,401,BOS,MSY,1345852800,1345904700,1345917180,1345904700,1345917180,1345852800,1345890300,1345899180,1345890300,1345899180,0,0,0,76,76,6,70,0,0,0,0,0,0,0,0,0,0,0,0,0
9512508,B6,197,JFK,LAS,1345852800,1345904940,1345924560,1345904940,1345924560,1345852800,1345890540,1345899360,1345890540,1345899360,0,0,0,138,138,38,100,0,0,0,0,0,0,0,0,0,0,0,0,0
9651961,B6,487,BOS,LAX,1345852800,1345905300,1345927320,1345905300,1345927320,1345852800,1345890900,1345902120,1345890900,1345902120,0,0,0,113,113,30,83,0,0,0,0,0,0,1,0,0,0,0,0,0
9537367,B6,600,JFK,PWM,1345852800,1345905900,1345910280,1345905900,1345910280,1345852800,1345891500,1345895880,1345891500,1345895880,0,0,0,87,87,11,76,0,0,0,0,0,0,0,0,0,0,0,0,0
9574863,B6,1227,BOS,RDU,1345852800,1345905900,1345912680,1345905900,1345912680,1345852800,1345891500,1345898280,1345891500,1345898280,0,0,0,86,86,17,69,0,0,0,0,0,0,0,0,0,0,0,0,0
9643773,B6,373,LGA,FLL,1345852800,1345906500,1345917540,1345906500,1345917540,1345852800,1345892100,1345903140,1345892100,1345903140,0,0,0,128,128,22,106,0,0,0,0,0,0,0,0,0,0,0,0,0
9564578,B6,969,BOS,FLL,1345852800,1345906500,1345918020,1345906500,1345918020,1345852800,1345892100,1345903620,1345892100,1345903620,0,0,0,119,119,18,101,0,0,0,0,0,4,0,0,0,0,0,0,0
9545392,B6,687,BOS,DCA,1345852800,1345906800,1345912320,1345906800,1345912320,1345852800,1345892400,1345897920,1345892400,1345897920,0,0,0,150,150,22,128,0,0,0,0,0,4,0,0,0,0,0,0,0
9573820,B6,1217,BOS,BUF,1345852800,1345907100,1345912260,1345907100,1345912260,1345852800,1345892700,1345897860,1345892700,1345897860,0,0,0,94,94,24,70,0,0,0,0,0,0,0,0,0,0,0,0,0
9675122,B6,809,BOS,JFK,1345852800,1345907340,1345911540,1345907340,1345911540,1345852800,1345892940,1345897140,1345892940,1345897140,0,0,0,9,9,2,7,0,0,0,0,0,0,2,7,0,7,0,0,0
9502253,B6,57,JFK,PBI,1345852800,1345907400,1345917120,1345907400,1345917120,1345852800,1345893000,1345902720,1345893000,1345902720,0,0,0,149,149,17,132,0,0,0,0,0,0,0,0,0,0,0,0,0
9532020,B6,523,EWR,MCO,1345852800,1345907940,1345917300,1345907940,1345917300,1345852800,1345893540,1345902900,1345893540,1345902900,0,0,0,87,87,33,54,0,0,0,0,0,0,0,0,0,0,0,0,0
9503307,B6,66,JFK,BUF,1345852800,1345908540,1345913340,1345908540,1345913340,1345852800,1345894140,1345898940,1345894140,1345898940,0,0,0,54,54,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0
9499302,B6,31,JFK,MCO,1345852800,1345908540,1345918080,1345908540,1345918080,1345852800,1345894140,1345903680,1345894140,1345903680,0,0,0,77,77,31,46,0,0,0,0,0,0,0,0,0,0,0,0,0
9508626,B6,139,BUF,JFK,1345852800,1345908780,1345913460,1345908780,1345913460,1345852800,1345894380,1345899060,1345894380,1345899060,0,0,0,131,131,56,75,0,0,0,0,0,0,2,0,0,0,0,0,0
9539482,B6,625,JFK,HOU,1345852800,1345909500,1345922580,1345909500,1345922580,1345852800,1345895100,1345904580,1345895100,1345904580,0,0,0,88,88,11,77,0,0,0,0,0,0,0,0,0,0,0,0,0
9535571,B6,585,HPN,FLL,1345852800,1345910340,1345920780,1345910340,1345920780,1345852800,1345895940,1345906380,1345895940,1345906380,0,0,0,87,87,8,79,0,0,0,0,0,0,0,0,0,5,0,0,0
9502743,B6,61,JFK,FLL,1345852800,1345910340,1345920840,1345910340,1345920840,1345852800,1345895940,1345906440,1345895940,1345906440,0,0,0,116,116,18,98,0,0,0,0,0,0,0,6,0,1,0,0,0
9542204,B6,658,JFK,SYR,1345852800,1345910760,1345914960,1345910760,1345914960,1345852800,1345896360,1345900560,1345896360,1345900560,0,0,0,83,83,8,75,0,0,0,0,0,0,0,0,0,0,0,0,0
9557729,B6,845,BOS,SJU,1345852800,1345911600,1345925700,1345911600,1345925700,1345852800,1345897200,1345911300,1345897200,1345911300,0,0,0,148,148,24,124,0,0,0,0,0,0,0,0,1,0,0,0,0
9545632,B6,689,BOS,DCA,1345852800,1345911900,1345917480,1345911900,1345917480,1345852800,1345897500,1345903080,1345897500,1345903080,0,0,0,86,86,14,72,0,0,0,0,0,4,0,0,0,0,0,0,0
9572189,B6,1187,BOS,SRQ,1345852800,1345912800,1345924320,1345912800,1345924320,1345852800,1345898400,1345909920,1345898400,1345909920,0,0,0,68,68,9,59,0,0,0,0,0,0,0,0,0,0,0,0,0
9530976,B6,505,EWR,FLL,1345852800,1345913940,1345924380,1345913940,1345924380,1345852800,1345899540,1345909980,1345899540,1345909980,0,0,0,121,121,11,110,0,0,0,0,0,0,0,0,0,0,0,0,0
9563230,B6,953,BOS,MCO,1345852800,1345914000,1345924800,1345914000,1345924800,1345852800,1345899600,1345910400,1345899600,1345910400,0,0,0,53,53,39,14,0,0,0,0,0,0,0,0,0,0,0,0,0
9561475,B6,921,BOS,ORD,1345852800,1345914300,1345923720,1345914300,1345923720,1345852800,1345899900,1345905720,1345899900,1345905720,0,0,0,85,85,9,76,0,0,0,0,0,0,0,0,0,0,0,0,0
9537736,B6,604,JFK,PWM,1345852800,1345914900,1345919520,1345914900,1345919520,1345852800,1345900500,1345905120,1345900500,1345905120,0,0,0,91,91,12,79,0,0,0,0,0,0,0,0,0,0,0,0,0
9546070,B6,693,DCA,MCO,1345852800,1345914900,1345922880,1345914900,1345922880,1345852800,1345900500,1345908480,1345900500,1345908480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9512950,B6,209,JFK,LGB,1345852800,1345915500,1345936680,1345915500,1345936680,1345852800,1345901100,1345911480,1345901100,1345911480,0,0,0,150,126,40,86,0,0,0,0,0,4,4,8,0,8,0,0,0
9523478,B6,377,LGA,FLL,1345852800,1345915740,1345926840,1345915740,1345926840,1345852800,1345901340,1345912440,1345901340,1345912440,0,0,0,139,139,19,120,0,0,0,0,0,0,0,0,0,0,0,0,0
9554410,B6,809,JFK,SDQ,1345852800,1345915740,1345930200,1345915740,1345930200,1345852800,1345901340,1345915800,1345901340,1345915800,0,0,0,138,138,86,52,0,0,0,0,0,0,0,0,1,1,0,0,0
9503383,B6,67,BUF,JFK,1345852800,1345915800,1345920960,1345915800,1345920960,1345852800,1345901400,1345906560,1345901400,1345906560,0,0,0,85,85,45,40,0,0,0,0,0,0,2,0,0,0,0,0,0
